Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type
1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,35000000,Ready_to_move,Resale,Builder_Floor
1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,40000000,Ready_to_move,Resale,Builder_Floor
2880.0,4,5.0,Unfurnished,Lajpat Nagar 3,1.0,46000000,Ready_to_move,New_Property,Builder_Floor
2700.0,4,4.0,Semi-Furnished,Lajpat Nagar 3,2.0,55000000,Ready_to_move,Resale,Builder_Floor
1400.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,24500000,Ready_to_move,Resale,Builder_Floor
1800.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,24500000,Ready_to_move,Resale,Apartment
1400.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,32500000,Ready_to_move,New_Property,Builder_Floor
1000.0,2,2.0,Furnished,Lajpat Nagar 3,1.0,20000000,Ready_to_move,Resale,Apartment
1700.0,3,3.0,Furnished,Lajpat Nagar 3,2.0,19000000,Ready_to_move,Resale,Builder_Floor
1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,2.0,26000000,Ready_to_move,Resale,Builder_Floor
1350.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,21000000,Ready_to_move,Resale,Builder_Floor
1700.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,27500000,Ready_to_move,Resale,Builder_Floor
1400.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,32500000,Ready_to_move,New_Property,Builder_Floor
1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,45000000,Ready_to_move,New_Property,Builder_Floor
1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,21000000,Ready_to_move,Resale,Builder_Floor
1700.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,28000000,Ready_to_move,Resale,Builder_Floor
1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,2.0,29500000,Ready_to_move,Resale,Builder_Floor
800.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,14000000,Ready_to_move,New_Property,Builder_Floor
1350.0,2,2.0,Furnished,Lajpat Nagar 2,4.0,12500000,Ready_to_move,Resale,Builder_Floor
750.0,2,2.0,Semi-Furnished,"Vinoba Puri, Lajpat Nagar",2.0,11500000,Ready_to_move,New_Property,Builder_Floor
850.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,2.0,14600000,Ready_to_move,Resale,Builder_Floor
1575.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,25500000,Ready_to_move,New_Property,Builder_Floor
1675.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,31000000,Ready_to_move,New_Property,Builder_Floor
1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,22000000,Ready_to_move,Resale,Builder_Floor
900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,2.0,13400000,Ready_to_move,New_Property,Builder_Floor
1800.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,35000000,Almost_ready,New_Property,Builder_Floor
900.0,2,2.0,Furnished,Lajpat Nagar 2,2.0,11000000,Ready_to_move,Resale,Builder_Floor
900.0,2,2.0,Unfurnished,"Vinoba Puri, Lajpat Nagar",2.0,6300000,Ready_to_move,Resale,Builder_Floor
